name,max,min
GenFiltHT,5606147.0,0.0
HLT_j60,1.0,0.0
HLT_j45,1.0,0.0
jets_FracSamplingMaxIndex,23.0,0.0
jets_Width,0.41467667,0.0
HLT_j85,1.0,0.0
weight_mc,nan,nan
jets_JVFCorr,1.0,-1.0
jets_ChargedPFOWidthPt1000,0.6342514,-1.0
HLT_j15,1.0,0.0
corrected_averageInteractionsPerCrossing,99.5,0.0
jets_phi,3.1415925,-3.1415925
HLT_j25,1.0,0.0
runNumber,364292.0,0.0
jets_JetConstitScaleMomentum_pt,3553860.2,0.0
jets_JetConstitScaleMomentum_eta,4.5120835,-4.515234
jets_NumChargedPFOPt1000,84.0,0.0
jets_SumPtChargedPFOPt500,1054679.4,0.0
eventNumber,412038750.0,0.0
jets_ActiveArea4vec_phi,3.1415927,-3.1415927
jets_EMFrac,3.22754,-1.0212916
HLT_j150,0.0,0.0
HLT_j380,1.0,0.0
jets_Timing,544.603,-513.608
jets_fJVT,1.0,0.0
HLT_j110,1.0,0.0
jets_eta,4.537849,-4.5370317
jets_HadronConeExclExtendedTruthLabelID,55.0,0.0
jets_JetConstitScaleMomentum_phi,3.1415927,-3.1415927
HLT_j35,1.0,0.0
jets_Jvt,1.0,-0.1
lumiBlock,100.0,0.0
sigma_v235,78050000000.0,0.0
jets_NumChargedPFOPt500,117.0,0.0
jets_NumTrkPt1000,90.0,0.0
jets,4.0,0.0
weight_pu,3.019869,0.0
jets_EnergyPerSampling,2820045.0,-339866.7
HLT_j55,0.0,0.0
HLT_j260,1.0,0.0
jets_m,367914.12,-0.09244036
jets_passFJVT,1.0,0.0
HLT_j420,1.0,0.0
jets_ActiveArea4vec_pt,1.014198,0.0
sigma_v230,78420000000.0,0.0
HLT_j360,1.0,0.0
jets_truth_partonPDG,21.0,-1.0
jets_PartonTruthLabelID,21.0,-1.0
jets_JetConstitScaleMomentum_m,326266.3,0.0
jets_DetectorEta,4.5120835,-4.515234
jets_ActiveArea4vec_eta,100000.0,-4.6950254
jets_ConeTruthLabelID,15.0,0.0
jets_FracSamplingMax,91037.375,0.0
JvtSF,7.5644126,0.0
jets_TrackWidthPt1000,0.76411736,-1.0
jets_chf,980553.5,0.0
HLT_j400,1.0,0.0
jets_passJVT,1.0,0.0
corrected_actualInteractionsPerCrossing,99.5,0.0
jets_HadronConeExclTruthLabelID,15.0,0.0
HLT_j0_perf_L1RD0_FILLED,1.0,0.0
metadata,2996000.0,0.0
jets_SumPtTrkPt500,296694200000.0,0.0
jets_ActiveArea4vec_m,0.44244453,-4.3558626e-10
filtEff_v230,0.024162,0.0
jets_n,80.0,0.0
jets_GhostMuonSegmentCount,169.0,0.0
mcChannelNumber,364705.0,0.0
FJvtSF,5.0888386,-0.68411183
jets_JvtRpt,941483.75,0.0
HLT_j175,1.0,0.0
jets_NumTrkPt500,132.0,0.0
jets_pt,3833802.5,0.0
filtEff_v235,0.024425,0.0
